id,fichier,terme,article,image_url,licence,auteur,licence_url,attribution_requise
maguro,maguro.jpg,ja:鮪,https://ja.wikipedia.org/wiki/マグロ,https://upload.wikimedia.org/wikipedia/commons/9/99/Fish4499_-_Flickr_-_NOAA_Photo_Library.jpg,Public domain,"SEFSC Pascagoula Laboratory; Collection of Brandi Noble, NOAA/NMFS/SEFSC.",,false
chutoro,chutoro.jpg,ja:クロマグロ,https://ja.wikipedia.org/wiki/クロマグロ,https://upload.wikimedia.org/wikipedia/commons/7/73/Pacific_bluefin_tuna.jpg,CC BY 2.1 jp,aes256,https://creativecommons.org/licenses/by/2.1/jp/deed.en,true
otoro,otoro.jpg,ja:クロマグロ,https://ja.wikipedia.org/wiki/クロマグロ,https://upload.wikimedia.org/wikipedia/commons/7/73/Pacific_bluefin_tuna.jpg,CC BY 2.1 jp,aes256,https://creativecommons.org/licenses/by/2.1/jp/deed.en,true
katsuo,katsuo.jpg,ja:鰹,https://ja.wikipedia.org/wiki/カツオ,https://upload.wikimedia.org/wikipedia/commons/2/2e/Kapel_u0.gif,Public domain,,,false
sake,sake.jpg,ja:鮭,https://ja.wikipedia.org/wiki/サケ,https://upload.wikimedia.org/wikipedia/commons/3/38/Salmon_%28breeding_color%29.jpg,CC BY-SA 3.0,コンピュータが読み取れる情報は提供されていませんが、Vineyardだと推定されます（著作権の主張に基づく）,https://creativecommons.org/licenses/by-sa/3.0,true
mebachi,mebachi.jpg,ja:目鉢,https://ja.wikipedia.org/wiki/植木鉢,https://upload.wikimedia.org/wikipedia/commons/8/8a/Pots_in_the_Buckingham_Garden_Centre_-_geograph.org.uk_-_1476735.jpg,CC BY-SA 2.0,Steve Daniels,https://creativecommons.org/licenses/by-sa/2.0,true
kihada,kihada.jpg,ja:黄肌,https://ja.wikipedia.org/wiki/キハダ,https://upload.wikimedia.org/wikipedia/commons/9/99/Fish4499_-_Flickr_-_NOAA_Photo_Library.jpg,Public domain,"SEFSC Pascagoula Laboratory; Collection of Brandi Noble, NOAA/NMFS/SEFSC.",,false
bincho,bincho.jpg,ja:鬢長,https://ja.wikipedia.org/wiki/ビンナガ,https://upload.wikimedia.org/wikipedia/commons/4/47/Thala_u0.gif,Public domain,,,false
mekajiki,mekajiki.jpg,ja:眼梶木,https://ja.wikipedia.org/wiki/メカジキ,https://upload.wikimedia.org/wikipedia/commons/1/19/Swordfish_natural_environment.jpg,Public domain,NOAA Deep Sea Coral Research &amp; Technology Program-Pelagic Research Services.,,false
mejimaguro,mejimaguro.jpg,ja:メジ鮪,https://ja.wikipedia.org/wiki/クロマグロ,https://upload.wikimedia.org/wikipedia/commons/7/73/Pacific_bluefin_tuna.jpg,CC BY 2.1 jp,aes256,https://creativecommons.org/licenses/by/2.1/jp/deed.en,true
